,endTime,artistName,trackName,msPlayed
2238,2021-03-23 04:11,Pierce The Veil,I'm Low On Gas And You Need A Jacket,5429
2239,2021-03-23 04:11,Pierce The Veil,Tangled In The Great Escape,356893
2240,2021-03-23 04:12,Pierce The Veil,The First Punch,11520
2241,2021-03-23 04:16,Pierce The Veil,Besitos,264657
2242,2021-03-23 04:17,Pierce The Veil,Southern Constellations,65197
2243,2021-03-23 04:22,Pierce The Veil,The Boy Who Could Fly,310630
2244,2021-03-23 17:27,Pierce The Veil,Caraphernelia,255467
2245,2021-03-23 17:45,Not Another D&D Podcast,Eldermourne - Ep. 17: Monsters of the Mountain  ,1323514
2246,2021-03-24 01:41,Not Another D&D Podcast,Eldermourne - Ep. 17: Monsters of the Mountain  ,2490538
2247,2021-03-24 04:10,Not Another D&D Podcast,Eldermourne - Ep. 17: Monsters of the Mountain  ,55754
2248,2021-03-24 04:33,Three Black Halflings | A Dungeons & Dragons Podcast,"""A Very Successful Pilot"" - The Origin Story",835808
2249,2021-03-24 04:37,Three Black Halflings | A Dungeons & Dragons Podcast,"""A Very Successful Pilot"" - The Origin Story",207616
2250,2021-03-24 05:21,Three Black Halflings | A Dungeons & Dragons Podcast,"""A Very Successful Pilot"" - The Origin Story",2644546
2251,2021-03-24 17:31,Three Black Halflings | A Dungeons & Dragons Podcast,"""A Very Successful Pilot"" - The Origin Story",0
2252,2021-03-24 17:33,Three Black Halflings | A Dungeons & Dragons Podcast,"""Paladin Sin List: #1. Microaggressions""",85345
2253,2021-03-24 17:36,My Chemical Romance,I'm Not Okay (I Promise),7382
2254,2021-03-24 17:36,Mayday Parade,Jamie All Over,1344
2255,2021-03-24 17:36,Mayday Parade,Jamie All Over,2880
2256,2021-03-24 17:36,Paramore,Misery Business,7914
2257,2021-03-24 17:36,Relient K,Be My Escape,1194
2258,2021-03-24 17:36,Lustra,Scotty Doesn't Know,175200
2259,2021-03-24 17:36,Panic! At The Disco,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,2815
2260,2021-03-24 17:40,My Chemical Romance,I'm Not Okay (I Promise),1941
2261,2021-03-24 17:40,Mayday Parade,Jamie All Over,216000
2262,2021-03-24 17:40,All Time Low,"Dear Maria, Count Me In",15713
